#A:	K:	U:	Tot:	Pc:
0	2.1033	0.38897	2.4923	0.32874
0.25	2.1033	0.39754	2.5009	0.34131
0.5	2.1033	0.40072	2.504	0.344
0.75	2.1033	0.39986	2.5032	0.34159
1	2.1033	0.39594	2.4992	0.33696
1.25	2.1033	0.39042	2.4937	0.33152
1.5	2.1033	0.38423	2.4875	0.32581
1.75	2.1033	0.37779	2.4811	0.32007
2	2.1033	0.37134	2.4746	0.31442
2.25	2.1033	0.36496	2.4683	0.30889
2.5	2.1033	0.35872	2.462	0.30351
2.75	2.1033	0.35262	2.4559	0.29828
3	2.1033	0.34669	2.45	0.29322
3.5	2.1033	0.34091	2.4442	0.28829
4	2.1033	0.33529	2.4386	0.28352
