#A:	K:	U:	Tot:	Pc:
0	1.4868	1.6514	3.1383	1.6514
0.25	1.5288	1.4525	2.9813	1.337
0.5	1.5771	1.2884	2.8654	1.1044
0.75	1.6284	1.1482	2.7765	0.93142
1	1.6804	1.0258	2.7062	0.80172
1.25	1.7272	0.92204	2.6492	0.70235
1.5	1.7668	0.83532	2.6021	0.62447
1.75	1.8002	0.76224	2.5625	0.56196
2	1.8283	0.70034	2.5287	0.51069
2.25	1.852	0.64753	2.4996	0.46799
2.5	1.8722	0.60199	2.4742	0.43188
2.75	1.8895	0.56233	2.4518	0.40093
3	1.9044	0.52758	2.432	0.37413
3.5	1.9177	0.49608	2.4138	0.35032
4	1.9294	0.46769	2.3971	0.32913
