Log file of the MD simulation
Power:	A:	steps:
6	0	5001
6	0.25	5001
6	0.5	5001
6	0.75	5001
6	1	5001
6	1.25	5001
6	1.5	5001
6	1.75	5001
6	2	5001
6	2.25	5001
6	2.5	5001
6	2.75	5001
6	3	5001
6	3.5	5001
6	4	5001
6	10	5001
6	25	5001
6	80	5001
6	200	5001
7	0	5001
7	0.25	5001
7	0.5	5001
7	0.75	5001
7	1	5001
7	1.25	5001
7	1.5	5001
7	1.75	5001
7	2	5001
7	2.25	5001
7	2.5	5001
7	2.75	5001
7	3	5001
7	3.5	5001
7	4	5001
8	0	5001
8	0.25	5001
8	0.5	5001
8	0.75	5001
8	1	5001
8	1.25	5001
8	1.5	5001
8	1.75	5001
8	2	5001
8	2.25	5001
8	2.5	5001
8	2.75	5001
8	3	5001
8	3.5	5001
8	4	5001
9	0	5001
9	0.25	5001
9	0.5	5001
9	0.75	5001
9	1	5001
9	1.25	5001
9	1.5	5001
9	1.75	5001
9	2	5001
9	2.25	5001
9	2.5	5001
9	2.75	5001
9	3	5001
9	3.5	5001
9	4	5001
10	0	5001
10	0.25	5001
10	0.5	5001
10	0.75	5001
10	1	5001
10	1.25	5001
10	1.5	5001
10	1.75	5001
10	2	5001
10	2.25	5001
10	2.5	5001
10	2.75	5001
10	3	5001
10	3.5	5001
10	4	5001
12	0	5001
12	0.25	5001
12	0.5	5001
12	0.75	5001
12	1	5001
12	1.25	5001
12	1.5	5001
12	1.75	5001
12	2	5001
12	2.25	5001
12	2.5	5001
12	2.75	5001
12	3	5001
12	3.5	5001
12	4	5001
5	0	5001
5	0.25	5001
5	0.5	5001
5	0.75	5001
5	1	5001
5	1.25	5001
5	1.5	5001
5	1.75	5001
5	2	5001
5	2.25	5001
5	2.5	5001
5	2.75	5001
5	3	5001
5	3.5	5001
5	4	5001

Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
U: 6	A:0
Log file of the MD simulation
Power:	A:	steps:
U: 6	A:0
Log file of the MD simulation
Power:	A:	steps:
6	0	5001
6	0.25	5001
6	0.5	5001
6	0.75	5001
6	1	5001
6	1.25	5001
6	1.5	5001
6	1.75	5001
6	2	5001
6	2.25	5001
6	2.5	5001
6	2.75	5001
6	3	5001
6	3.5	5001
6	4	5001
7	0	5001
7	0.25	5001
7	0.5	5001
7	0.75	5001
7	1	5001
7	1.25	5001
7	1.5	5001
7	1.75	5001
7	2	5001
7	2.25	5001
7	2.5	5001
7	2.75	5001
7	3	5001
7	3.5	5001
7	4	5001
8	0	5001
8	0.25	5001
8	0.5	5001
8	0.75	5001
8	1	5001
8	1.25	5001
8	1.5	5001
8	1.75	5001
8	2	5001
8	2.25	5001
8	2.5	5001
8	2.75	5001
8	3	5001
8	3.5	5001
8	4	5001
9	0	5001
9	0.25	5001
9	0.5	5001
9	0.75	5001
9	1	5001
9	1.25	5001
9	1.5	5001
9	1.75	5001
9	2	5001
9	2.25	5001
9	2.5	5001
9	2.75	5001
9	3	5001
9	3.5	5001
9	4	5001
10	0	5001
10	0.25	5001
10	0.5	5001
10	0.75	5001
10	1	5001
10	1.25	5001
10	1.5	5001
10	1.75	5001
10	2	5001
10	2.25	5001
10	2.5	5001
10	2.75	5001
10	3	5001
10	3.5	5001
10	4	5001
12	0	5001
12	0.25	5001
12	0.5	5001
12	0.75	5001
12	1	5001
12	1.25	5001
12	1.5	5001
12	1.75	5001
12	2	5001
12	2.25	5001
12	2.5	5001
12	2.75	5001
12	3	5001
12	3.5	5001
12	4	5001
Log file of the MD simulation
Power:	A:	steps:
6	0	10001
6	0.25	10001
6	0.5	10001
6	0.75	10001
6	1	10001
6	1.25	10001
6	1.5	10001
6	1.75	10001
6	2	10001
6	2.25	10001
6	2.5	10001
6	2.75	10001
6	3	10001
6	3.5	10001
6	4	10001
7	0	10001
7	0.25	10001
7	0.5	10001
7	0.75	10001
7	1	10001
7	1.25	10001
7	1.5	10001
7	1.75	10001
7	2	10001
7	2.25	10001
7	2.5	10001
7	2.75	10001
7	3	10001
7	3.5	10001
7	4	10001
8	0	10001
8	0.25	10001
8	0.5	10001
8	0.75	10001
8	1	10001
8	1.25	10001
8	1.5	10001
8	1.75	10001
8	2	10001
8	2.25	10001
8	2.5	10001
8	2.75	10001
8	3	10001
8	3.5	10001
8	4	10001
9	0	10001
9	0.25	10001
9	0.5	10001
9	0.75	10001
9	1	10001
9	1.25	10001
9	1.5	10001
9	1.75	10001
9	2	10001
9	2.25	10001
9	2.5	10001
9	2.75	10001
9	3	10001
9	3.5	10001
9	4	10001
10	0	10001
10	0.25	10001
10	0.5	10001
10	0.75	10001
10	1	10001
10	1.25	10001
10	1.5	10001
10	1.75	10001
10	2	10001
10	2.25	10001
10	2.5	10001
10	2.75	10001
10	3	10001
10	3.5	10001
10	4	10001
12	0	10001
12	0.25	10001
12	0.5	10001
12	0.75	10001
12	1	10001
12	1.25	10001
12	1.5	10001
12	1.75	10001
12	2	10001
12	2.25	10001
12	2.5	10001
12	2.75	10001
12	3	10001
12	3.5	10001
12	4	10001
Assertion failed: read_file.is_open(), file Source.cpp, line 90
Log file of the MD simulation
Power:	A:	steps:
Assertion failed: read_file.is_open(), file Source.cpp, line 89
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Assertion failed: read_file.is_open(), file Source.cpp, line 89
Log file of the MD simulation
Power:	A:	steps:
Assertion failed: read_file.is_open(), file Source.cpp, line 89
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
6	0	5001
Log file of the MD simulation
Power:	A:	steps:
6	0	5001
6	0.25	5001
6	0.5	5001
6	0.75	5001
6	1	5001
6	1.25	5001
6	1.5	5001
6	1.75	5001
6	2	5001
6	2.25	5001
6	2.5	5001
6	2.75	5001
6	3	5001
6	3.5	5001
6	4	5001
7	0	5001
7	0.25	5001
7	0.5	5001
7	0.75	5001
7	1	5001
7	1.25	5001
7	1.5	5001
7	1.75	5001
7	2	5001
7	2.25	5001
7	2.5	5001
7	2.75	5001
7	3	5001
7	3.5	5001
7	4	5001
8	0	5001
8	0.25	5001
8	0.5	5001
8	0.75	5001
8	1	5001
8	1.25	5001
8	1.5	5001
8	1.75	5001
8	2	5001
8	2.25	5001
8	2.5	5001
8	2.75	5001
8	3	5001
8	3.5	5001
8	4	5001
9	0	5001
9	0.25	5001
9	0.5	5001
9	0.75	5001
9	1	5001
9	1.25	5001
9	1.5	5001
9	1.75	5001
9	2	5001
9	2.25	5001
9	2.5	5001
9	2.75	5001
9	3	5001
9	3.5	5001
9	4	5001
10	0	5001
10	0.25	5001
10	0.5	5001
10	0.75	5001
10	1	5001
10	1.25	5001
10	1.5	5001
10	1.75	5001
10	2	5001
10	2.25	5001
10	2.5	5001
10	2.75	5001
10	3	5001
10	3.5	5001
10	4	5001
12	0	5001
12	0.25	5001
12	0.5	5001
12	0.75	5001
12	1	5001
12	1.25	5001
12	1.5	5001
12	1.75	5001
12	2	5001
12	2.25	5001
12	2.5	5001
12	2.75	5001
12	3	5001
12	3.5	5001
12	4	5001
Log file of the MD simulation
Power:	A:	steps:
Log file of the MD simulation
Power:	A:	steps:
U: 6	A:0
Assertion failed: read_file.is_open(), file Source.cpp, line 93
Log file of the MD simulation
Power:	A:	steps:
U: 6	A:0
