# Created on: Sun Feb 25 10:35:59 2018
# X	Y	Z	Vx	Vy	Vz
10.7176	0.331719	2.39997	-1.01882	0.350974	1.80147
11.0953	11.7504	2.60925	0.0540303	1.286	1.23642
1.26275	12.0759	4.37013	0.384546	0.247785	1.19298
1.26492	10.941	3.79685	-0.281775	0.348674	1.05181
10.9124	11.4733	4.42541	-0.696349	2.17706	0.539896
11.8011	1.15022	6.37876	-0.950363	-0.0400481	-0.705482
0.254385	3.53293	7.03461	0.246977	0.464543	0.833867
4.327	2.34225	7.79199	-0.060536	0.127187	-0.492801
4.19153	1.62059	8.71344	0.543566	-0.0272087	0.216677
11.8483	0.853869	0.540007	1.91745	-1.82367	-1.3484
11.0248	1.88681	12.4528	0.682124	-1.66214	-0.625638
1.21644	0.531824	3.01912	0.368888	-1.26893	0.734213
2.55388	11.8847	6.72885	1.82117	-0.616907	0.254996
2.24115	0.776689	6.59767	1.31597	-1.54597	0.247438
2.26114	0.847232	5.1857	-1.49304	0.957803	-0.875309
0.847051	0.129599	8.05283	-0.276338	1.73804	0.197471
0.806845	6.63313	9.11773	-0.170866	0.628926	1.73876
11.1891	11.8318	8.89657	0.824532	1.5616	-0.491384
4.06366	1.13957	9.74882	-0.954415	-0.231376	-0.118148
10.4487	2.67373	11.9913	-2.35069	-1.06605	-0.952743
11.1055	5.90939	0.848302	-2.55923	1.11851	0.134748
11.327	11.9595	1.24765	0.0283039	-1.23053	-1.09039
0.429687	3.049	4.2225	-0.0657807	0.558516	-0.498193
1.25533	5.3624	2.80048	0.108503	1.64982	-0.327583
0.314514	1.26636	3.73937	0.456813	0.0609455	-0.329194
12.5152	0.387813	5.05472	0.027069	0.384899	0.559008
12.1111	6.33056	7.32952	-2.1617	1.0282	0.890864
1.72622	1.7422	10.8681	-0.243838	-0.0971761	2.36899
1.37532	4.1797	10.1816	-0.237688	0.206736	1.4359
5.4042	2.13597	11.5492	0.331406	0.57358	1.09325
2.42118	1.98768	2.95916	1.52153	-1.76151	1.58718
0.737581	5.27267	10.8354	0.0530885	-0.932307	1.28337
0.962517	3.9271	4.15552	1.04607	0.760839	1.26396
2.2235	4.79007	6.6007	-0.540632	-0.857589	-0.927882
9.8719	5.3184	6.57576	0.619207	1.33171	-0.354854
10.7476	6.01573	10.6984	-0.0451764	0.481224	0.115444
4.13135	2.78533	8.94326	1.98251	0.650004	-0.648859
0.303183	1.60595	12.2512	-0.2993	-0.328634	-1.03326
3.19136	6.00628	10.1784	-1.92899	1.20101	1.4432
10.4671	6.78867	11.7268	-1.9973	1.16693	0.225048
12.3578	6.5543	1.87686	1.11563	0.479228	0.91699
0.904324	6.67865	2.05287	-0.76186	-1.08449	0.996782
0.03463	6.31265	10.9763	0.665424	2.68864	0.326874
2.95597	7.41643	5.13783	0.0992016	0.601654	-0.707016
11.8026	7.37907	4.9421	1.1903	-0.779529	0.184409
1.442	4.12686	9.18361	0.525254	-1.13048	-0.180096
0.793582	9.09077	10.4606	-0.942047	-1.00415	0.219554
3.01123	4.89534	9.77035	1.81192	0.880092	-0.8782
2.90408	8.56228	11.1542	-0.373528	-1.12591	-2.06044
11.9591	4.4062	10.385	-2.02702	0.963279	-0.406556
0.0216158	8.06243	2.10311	1.00003	0.868013	0.347999
0.286392	6.25871	2.92835	2.10877	-0.295264	1.51512
12.2633	5.84647	4.87946	-2.11083	-1.74203	0.461866
0.396981	8.02334	5.86938	0.0529659	0.849067	0.0229713
11.4673	5.11152	4.35461	0.38586	-0.812904	2.05181
2.1703	7.07432	7.18422	-0.149408	-1.02911	-0.386448
12.0721	9.62775	0.22546	0.898149	0.416065	0.330555
1.77928	3.88054	6.51287	0.128464	-0.38902	-0.929402
1.69893	5.23922	12.0143	-0.754023	0.664293	0.879212
12.4302	2.60373	12.5517	-1.45338	-1.35279	-1.14917
1.23663	9.87688	12.2448	0.555486	1.35097	0.540694
11.7612	12.2603	12.2503	-1.69596	0.359867	-0.251297
0.280998	3.85805	0.910691	0.690577	-0.211114	1.21786
0.051479	4.04138	4.56197	0.308696	-0.462825	1.96754
9.48503	6.34736	6.3291	0.263326	0.354505	0.0637463
11.8549	9.61312	6.63419	-0.439406	0.221605	-0.718949
1.37878	10.4357	8.30475	0.970688	0.418246	-1.25395
11.4723	11.2133	1.86148	-0.741705	0.656573	-1.89256
3.08392	7.30002	10.8624	2.58763	0.0099678	0.211229
10.5186	10.3269	11.099	0.35345	2.25316	1.29485
12.0453	10.3169	2.70587	0.00235463	0.400672	-0.566261
1.82135	0.438758	3.65234	0.171299	0.253802	-0.581341
9.85656	8.90344	1.26078	-0.145101	0.981487	2.23171
1.5334	7.06527	4.28678	0.667263	-0.911956	0.76628
3.10454	10.9862	2.58761	0.547999	1.47612	0.914976
2.39099	8.74778	6.38049	-0.81936	0.937708	-1.22199
0.51444	7.24763	7.5524	0.42496	-1.19405	1.47211
