# Created on: Wed Jun  6 16:40:15 2018
# X	Y	Z	Vx	Vy	Vz	Fx	Fy	Fz
1.87761	13.7062	12.3121	-1.41165	-0.00975522	1.60393	2.20526	-1.81252	-0.80869
4.71386	7.37712	12.8027	-2.51308	-2.60937	6.65176	-0.0934523	-0.804745	1.38895
15.6978	11.6005	10.0027	-6.42401	3.30885	-3.50754	-0.525843	-1.59484	0.713113
12.7861	3.57461	4.11192	0.776294	1.01216	-1.04655	-1.73402	-1.83236	-0.904954
3.17755	10.1643	10.7666	-2.08755	-4.22224	-1.41147	-2.58172	-0.144415	-0.346434
4.41052	16.0985	8.69846	0.934345	0.720237	-0.710957	-0.19174	0.224853	0.824642
9.56928	10.8104	12.022	2.71624	-3.21922	-3.29869	-0.818444	-0.725857	-1.23522
3.12224	13.0543	10.8269	2.66723	0.761675	-3.56519	-0.169358	0.69172	1.83503
2.8914	13.2482	9.7066	-2.69608	2.69499	-4.08154	0.996335	1.12916	1.66921
14.3567	16.3831	17.0211	-1.19372	-5.634	-4.03361	0.761446	0.379767	-0.392348
5.66314	0.750126	7.05414	-7.38668	-3.27193	-2.86407	0.639512	-0.0244422	0.387134
6.79579	13.3419	8.79908	-3.58333	6.40927	-0.810325	-0.475161	0.638479	0.346565
3.57987	16.4855	2.87552	-1.60034	0.553747	2.57401	-0.369079	-1.11651	-0.695832
7.72304	14.0887	1.35913	1.27415	-1.38181	-1.96809	-0.104465	-0.199309	0.677574
7.10313	1.91601	6.96158	2.37159	-2.42985	0.586327	0.453201	-0.735161	-0.764724
13.8759	4.17512	4.41806	1.30281	-2.93991	0.404494	2.89937	0.976229	0.231794
11.1729	1.39878	9.00523	-5.83456	-0.504268	-1.49596	-0.990843	-1.31801	-0.236121
8.49568	7.29458	11.6222	5.99004	-1.20543	-5.65986	0.822467	0.178586	0.346034
1.43546	5.80513	0.938329	-3.38433	-1.83513	-1.48823	-0.339802	-0.945289	-2.52244
3.43692	6.20414	0.807468	2.02802	0.542335	-1.48951	0.758079	-1.20257	-2.4248
14.6918	16.9856	1.45922	2.7384	-3.92823	0.0202917	-0.287698	0.938617	-0.392252
9.4413	16.8476	2.42042	2.32848	4.81397	-0.306927	-1.535	0.0407265	-0.738059
6.72535	16.4426	4.93981	2.45236	-1.28581	-5.21317	0.787079	-0.41101	-0.495595
4.72267	7.86401	0.56658	-0.4043	4.46819	1.63453	-1.20423	-1.46187	-1.99139
9.21641	10.9841	5.84772	-4.22388	-1.72105	-1.76104	1.20758	0.38808	-1.27134
14.4666	3.12941	11.4862	0.350472	6.67724	1.33907	0.559404	0.0912669	1.14426
5.71554	5.3271	12.3131	-2.54544	0.77128	0.296384	-1.47723	1.25797	1.01999
5.84396	9.49205	15.6907	0.170012	4.49896	0.0912437	-0.246992	1.55129	0.212507
16.4746	9.10367	13.4834	1.42515	-0.619973	-3.41449	-0.792942	0.568235	0.444828
6.83854	6.00222	10.2853	8.83065	-0.845586	-5.65887	0.0853338	0.159733	-1.06808
