# Phase diagram for FCC GCM lattice,
# X-data rho,            Y-data T
3.481675392669858482e-02, 4.602932914279152937e-05
3.612565445025885114e-02, 6.461042397802770065e-05
3.717277486910706280e-02, 6.454528429411781482e-05
3.874345549737938377e-02, 7.688925439500345071e-05
4.031413612565171861e-02, 8.923322449588821925e-05
4.136125654449992334e-02, 1.078306042521020788e-04
4.293193717277225124e-02, 1.326162539797360110e-04
4.397905759162046291e-02, 1.512136337359498706e-04
4.528795811518073616e-02, 1.822364081979369402e-04
4.659685863874100942e-02, 2.132591826599222751e-04
4.764397905758922108e-02, 2.318565624161378694e-04
4.869109947643743275e-02, 2.566747819857263108e-04
4.973821989528565135e-02, 2.814930015553156195e-04
5.052356020942181530e-02, 3.249900254860063620e-04
5.209424083769413627e-02, 3.684381946537640395e-04
5.261780104711824557e-02, 4.119515035054324703e-04
5.314136125654234794e-02, 4.368022929169754209e-04
5.445026178010262119e-02, 4.553833877522124596e-04
5.497382198952673049e-02, 4.802341771637562776e-04
5.575916230366288751e-02, 5.175103612810715709e-04
5.628272251308699681e-02, 5.423611506926162562e-04
5.680628272251110611e-02, 5.609911002907846250e-04
5.706806282722315382e-02, 5.920790144366815805e-04
5.732984293193521541e-02, 6.107252489558276376e-04
5.811518324607137242e-02, 6.417805932597683491e-04
5.863874345549548173e-02, 6.790730622980621981e-04
5.916230366491959103e-02, 7.225863711497297615e-04
5.994764397905574804e-02, 7.474208756402958911e-04
6.047120418847985734e-02, 7.722716650518397091e-04
6.073298429319191893e-02, 7.971387393843612154e-04
6.125654450261602824e-02, 8.344312084226541970e-04
6.230366492146423296e-02, 8.654702678056180876e-04
6.282722513088835614e-02, 9.089835766572865183e-04
6.335078534031245157e-02, 9.338343660688294690e-04
6.361256544502449928e-02, 9.711431200280992715e-04
6.413612565444862246e-02, 1.027098108506517733e-03
6.518324607329682718e-02, 1.058137167889480756e-03
6.544502617800888877e-02, 1.089225082035377712e-03
6.649214659685710738e-02, 1.120264141418340735e-03
6.701570680628120280e-02, 1.163777450270008298e-03
6.727748691099326439e-02, 1.188644524602529805e-03
6.753926701570531210e-02, 1.219732438748425025e-03
6.780104712041737369e-02, 1.250820352894321114e-03
6.806282722512942140e-02, 1.288129106853592651e-03
6.884816753926557842e-02, 1.312963611344158781e-03
6.963350785340174931e-02, 1.375123154714973268e-03
6.989528795811381090e-02, 1.344002670727121804e-03
7.041884816753790632e-02, 1.399957659205538531e-03
7.094240837696201563e-02, 1.437250128243832380e-03
7.172774869109818652e-02, 1.499409671614646868e-03
7.172774869109818652e-02, 1.462084632734398509e-03
7.251308900523434353e-02, 1.542906695545337610e-03
7.329842931937050055e-02, 1.592624559289402501e-03
7.408376963350665756e-02, 1.648563262846841539e-03
7.486910994764282845e-02, 1.692060286777532282e-03
7.565445026177899934e-02, 1.729336470894848442e-03
7.617801047120309477e-02, 1.779070619559890588e-03
7.696335078533926566e-02, 1.816346803677206315e-03
7.748691099476336108e-02, 1.866080952342248460e-03
7.801047120418747038e-02, 1.909594261193917324e-03
7.879581151832364128e-02, 1.965532964751356797e-03
7.931937172774773670e-02, 2.027708793043148539e-03
7.984293193717184600e-02, 2.071222101894815669e-03
8.010471204188390759e-02, 2.120972535480836370e-03
8.115183246073211232e-02, 2.152011594863799827e-03
8.193717277486828321e-02, 2.170625259540991375e-03
8.219895287958033092e-02, 2.214154853313636626e-03
8.272251308900445410e-02, 2.263889001978679205e-03
8.298429319371648794e-02, 2.294976916124574860e-03
8.350785340314059724e-02, 2.326048545349493693e-03
8.429319371727676813e-02, 2.357103889653434405e-03
8.481675392670086355e-02, 2.406838038318477417e-03
8.560209424083703444e-02, 2.468997581689291905e-03
8.612565445026114375e-02, 2.506290050727584887e-03
8.717277486910936235e-02, 2.562212469364046671e-03
8.769633507853347165e-02, 2.593284098588965070e-03
8.821989528795756708e-02, 2.661680766694132262e-03
8.926701570680578568e-02, 2.705161505703844883e-03
9.005235602094194269e-02, 2.754879369447910207e-03
9.057591623036605200e-02, 2.785950998672828607e-03
9.083769633507811359e-02, 2.835701432258848440e-03
9.098837209302326756e-02, 2.801862828111769711e-03
9.118217054263566546e-02, 2.813717188823031297e-03
9.127906976744186440e-02, 2.825571549534292883e-03
9.147286821705427617e-02, 2.834038950042336996e-03
9.161821705426356766e-02, 2.844199830651989846e-03
9.162303664921428448e-02, 2.848094257122665840e-03
9.186046511627907196e-02, 2.859441151566469337e-03
9.195736434108528479e-02, 2.872988992379339659e-03
9.215116279069768268e-02, 2.886536833192209980e-03
9.239341085271320086e-02, 2.900084674005080736e-03
9.240837696335042761e-02, 2.879149601426606551e-03
9.249031007751938593e-02, 2.912785774767146472e-03
9.278100775193799665e-02, 2.926333615580017228e-03
9.292635658914730201e-02, 2.939034716342082965e-03
9.293193717277455079e-02, 2.922662910278274549e-03
9.316860465116280632e-02, 2.954276037256562022e-03
9.341085271317831062e-02, 2.969517358171041514e-03
9.365310077519380105e-02, 2.985605419136325156e-03
9.371727748691069393e-02, 2.978601613835714455e-03
9.384689922480621282e-02, 3.008467400508044176e-03
9.418604651162790220e-02, 3.030482641828958611e-03
9.447674418604651292e-02, 3.052497883149873047e-03
9.471899224806201723e-02, 3.069432684165961274e-03
9.491279069767442900e-02, 3.082980524978831596e-03
9.515503875968991943e-02, 3.099915325994919823e-03
9.534883720930231732e-02, 3.113463166807790145e-03
9.559108527131783550e-02, 3.126164267569855881e-03
9.583333333333333981e-02, 3.143945808636748260e-03
9.617248062015504306e-02, 3.162574089754445657e-03
9.636627906976744096e-02, 3.176121930567315978e-03
9.656007751937983885e-02, 3.185436071126164243e-03
9.689922480620155598e-02, 3.203217612193057055e-03
9.718992248062016670e-02, 3.213378492802709471e-03
9.757751937984496249e-02, 3.232006773920406435e-03
9.777131782945736038e-02, 3.243861134631668454e-03
9.820736434108526258e-02, 3.264182895850973719e-03
9.874031007751937761e-02, 3.282811176968671116e-03
9.912790697674420115e-02, 3.300592718035563061e-03
9.951550387596899694e-02, 3.316680779000847137e-03
9.980620155038757990e-02, 3.328535139712108289e-03
1.000968992248061906e-01, 3.342929720575783629e-03
1.004844961240310142e-01, 3.357324301439458102e-03
1.009689922480620228e-01, 3.375105842506350481e-03
1.015019379844961239e-01, 3.396274343776460765e-03
1.019379844961240400e-01, 3.413209144792548558e-03
1.024224806201550347e-01, 3.428450465707028050e-03
1.029069767441860572e-01, 3.443691786621507107e-03
1.033430232558139594e-01, 3.458933107535986165e-03
1.039728682170542595e-01, 3.477561388653683562e-03
1.045542635658914671e-01, 3.499576629974597564e-03
1.052810077519379939e-01, 3.524132091447925753e-03
1.058139534883720811e-01, 3.536833192209991490e-03
1.064437984496124090e-01, 3.548687552921253076e-03
1.067829457364340984e-01, 3.558848433530905925e-03
1.071705426356589219e-01, 3.570702794242167945e-03
1.074612403100775049e-01, 3.579170194750211625e-03
1.078488372093023284e-01, 3.587637595258255738e-03
1.083333333333333370e-01, 3.601185436071126060e-03
1.085271317829457349e-01, 3.609652836579170174e-03
1.092054263565891414e-01, 3.621507197290431759e-03
1.099806201550387608e-01, 3.640135478408128723e-03
1.104651162790697694e-01, 3.648602878916172836e-03
1.109980620155038705e-01, 3.660457239627434422e-03
1.117248062015503973e-01, 3.668924640135478536e-03
1.124031007751938038e-01, 3.679085520745131385e-03
1.128875968992248124e-01, 3.687552921253175065e-03
1.132751937984496082e-01, 3.694326841659610443e-03
1.135658914728682189e-01, 3.699407281964437084e-03
1.140503875968992276e-01, 3.711261642675698670e-03
1.147286821705426341e-01, 3.723116003386960256e-03
1.152616279069767491e-01, 3.729889923793395200e-03
1.161821705426356599e-01, 3.740050804403048049e-03
1.168604651162790664e-01, 3.746824724809483427e-03
1.173449612403100750e-01, 3.753598645215918805e-03
1.178294573643410836e-01, 3.758679085520745013e-03
1.184593023255813837e-01, 3.763759525825571654e-03
1.188953488372093137e-01, 3.770533446232006598e-03
1.196705426356589053e-01, 3.775613886536833240e-03
1.203972868217054182e-01, 3.781541066892464033e-03
1.211240310077519311e-01, 3.784081287044877354e-03
1.220930232558139483e-01, 3.786621507197290241e-03
1.227713178294573548e-01, 3.787468247248094826e-03
1.234496124031007613e-01, 3.786621507197290241e-03
1.244186046511627786e-01, 3.786621507197290241e-03
1.251937984496123979e-01, 3.782387806943268184e-03
1.260658914728682023e-01, 3.777307366638441976e-03
1.269379844961240067e-01, 3.769686706181202447e-03
1.276162790697674410e-01, 3.763759525825571654e-03
1.285852713178294582e-01, 3.753598645215918805e-03
1.294573643410852626e-01, 3.740050804403048049e-03
1.301356589147286691e-01, 3.727349703640981879e-03
1.311046511627906863e-01, 3.707874682472480764e-03
1.320736434108527035e-01, 3.691786621507197122e-03
1.327519379844961100e-01, 3.675698560541913480e-03
1.332364341085271187e-01, 3.658763759525825686e-03
1.336724806201550209e-01, 3.647756138865368251e-03
1.340116279069767380e-01, 3.636748518204910817e-03
1.343992248062015338e-01, 3.626587637595258401e-03
1.347868217054263296e-01, 3.616426756985605118e-03
1.349806201550387552e-01, 3.606265876375952702e-03
1.352713178294573382e-01, 3.597798475867908588e-03
1.356589147286821617e-01, 3.589331075359864474e-03
1.359496124031007447e-01, 3.577476714648602889e-03
1.364341085271317811e-01, 3.563928873835732133e-03
1.367248062015503640e-01, 3.553767993226079717e-03
1.372093023255813726e-01, 3.538526672311600226e-03
1.377422480620154877e-01, 3.520745131244707848e-03
1.382751937984496027e-01, 3.504657070279424205e-03
1.386143410852712921e-01, 3.490262489415749299e-03
1.389534883720930092e-01, 3.477561388653683128e-03
1.392441860465116199e-01, 3.465707027942421543e-03
1.395348837209302306e-01, 3.455546147332768693e-03
1.398740310077519200e-01, 3.443691786621507107e-03
1.403100775193798222e-01, 3.431837425910245522e-03
1.406976744186046457e-01, 3.414902624894157294e-03
1.409883720930232287e-01, 3.403048264182895709e-03
1.412790697674418394e-01, 3.392887383573242859e-03
1.416182170542635566e-01, 3.377646062658763802e-03
1.421511627906976438e-01, 3.362404741744284310e-03
1.424903100775193610e-01, 3.348856900931413989e-03
1.428294573643410781e-01, 3.328535139712108289e-03
1.433624031007751654e-01, 3.303132938187976382e-03
1.438953488372092804e-01, 3.282811176968670683e-03
1.443313953488372103e-01, 3.267569856054191191e-03
1.446705426356588997e-01, 3.254022015241320870e-03
1.449612403100775104e-01, 3.238780694326841812e-03
1.453003875968991998e-01, 3.226926333615580227e-03
1.455910852713178105e-01, 3.213378492802709471e-03
1.458333333333333148e-01, 3.201524132091447886e-03
1.461240310077518978e-01, 3.184589331075359658e-03
1.464147286821705085e-01, 3.171041490262489337e-03
1.468023255813953321e-01, 3.152413209144792373e-03
1.470930232558139150e-01, 3.135478408128704146e-03
1.474321705426356599e-01, 3.121930567315834258e-03
1.476259689922480300e-01, 3.108382726502963503e-03
1.478682170542635621e-01, 3.093141405588484445e-03
1.483527131782945707e-01, 3.074513124470787482e-03
1.486434108527131537e-01, 3.054191363251481349e-03
1.488372093023255516e-01, 3.040643522438611461e-03
1.491763565891472687e-01, 3.023708721422523234e-03
1.494186046511627453e-01, 3.008467400508044176e-03
1.496608527131782496e-01, 2.992379339542760100e-03
1.499031007751937816e-01, 2.976291278577476891e-03
1.501937984496123923e-01, 2.964436917866215306e-03
1.503875968992247902e-01, 2.954276037256562022e-03
1.504844961240310031e-01, 2.942421676545300437e-03
1.507267441860465074e-01, 2.930567315834038851e-03
1.509689922480619839e-01, 2.918712955122777265e-03
1.510658914728681967e-01, 2.907705334462319831e-03
1.512596899224805946e-01, 2.895004233700254094e-03
1.513089005235625506e-01, 2.850602134953188205e-03
1.513089005235625506e-01, 2.875485494206686966e-03
1.514534883720929925e-01, 2.881456392887383339e-03
1.515988372093023118e-01, 2.867908552074513017e-03
1.517441860465116032e-01, 2.856054191363251431e-03
1.518324607329866738e-01, 2.838127885484483665e-03
1.519379844961240011e-01, 2.844199830651989412e-03
1.521317829457364268e-01, 2.834885690093141147e-03
1.522286821705426119e-01, 2.825571549534292883e-03
1.523255813953488247e-01, 2.815410668924640467e-03
1.524224806201550098e-01, 2.802709568162574296e-03
1.526178010471228585e-01, 2.813195671468053140e-03
1.528795811518349201e-01, 2.794516867106951272e-03
1.531413612565469262e-01, 2.769617222932475257e-03
1.534031413612589878e-01, 2.750938418571374257e-03
1.539267015706831110e-01, 2.732243329289295135e-03
1.544502617801071787e-01, 2.676223201126968522e-03
1.544502617801071787e-01, 2.707327400193841865e-03
1.552356020942433634e-01, 2.651290987110537130e-03
1.552356020942433634e-01, 2.613965948230289639e-03
1.554973821989554250e-01, 2.582845464242439042e-03
1.560209424083795482e-01, 2.533046175893486577e-03
1.560209424083795482e-01, 2.570371214773734501e-03
1.568062827225156775e-01, 2.470788922996807694e-03
1.568062827225156775e-01, 2.501893122063681037e-03
1.573298429319398006e-01, 2.452093833714728572e-03
1.575916230366518622e-01, 2.433415029353627572e-03
1.578534031413639238e-01, 2.414736224992525705e-03
1.578534031413639238e-01, 2.396073705552401525e-03
1.583769633507879915e-01, 2.364936936643573240e-03
1.586387434555000531e-01, 2.346258132282472240e-03
1.589005235602121147e-01, 2.315137648294621642e-03
1.591623036649241762e-01, 2.277796324493396030e-03
1.591623036649241762e-01, 2.296458843933520209e-03
1.594240837696362378e-01, 2.234234160878796269e-03
1.594240837696362378e-01, 2.259117520132294596e-03
1.596858638743482994e-01, 2.215555356517694401e-03
1.602094240837724226e-01, 2.196860267235615713e-03
1.602094240837724226e-01, 2.171976907982117386e-03
1.604712041884844842e-01, 2.153298103621015085e-03
1.609947643979085519e-01, 2.140823854152311845e-03
1.609947643979085519e-01, 2.122161334712187233e-03
1.612565445026206135e-01, 2.084820010910962054e-03
1.615183246073326750e-01, 2.047478687109736874e-03
1.620418848167567427e-01, 1.991458558947409828e-03
1.620418848167567427e-01, 2.022562758014283171e-03
1.623036649214688043e-01, 1.966558914772934246e-03
1.628272251308929275e-01, 1.935422145864105960e-03
1.630890052356049891e-01, 1.904301661876254929e-03
1.633507853403170507e-01, 1.873181177888403898e-03
1.636125654450291123e-01, 1.842060693900553301e-03
1.638743455497411738e-01, 1.810940209912702270e-03
1.641361256544531799e-01, 1.779819725924851673e-03
1.643979057591652415e-01, 1.754920081750376091e-03
1.649214659685893647e-01, 1.723783312841547805e-03
1.654450261780134879e-01, 1.692646543932719520e-03
1.657068062827255495e-01, 1.655305220131493907e-03
1.657068062827255495e-01, 1.617980181251245982e-03
1.664921465968616787e-01, 1.568164607981316263e-03
1.664921465968616787e-01, 1.524618729287693757e-03
1.672774869109978635e-01, 1.431257277324141097e-03
1.672774869109978635e-01, 1.493465675457887783e-03
1.676701570680659836e-01, 1.468557888822923790e-03
1.680628272251339927e-01, 1.387662543867586827e-03
1.680628272251339927e-01, 1.337895825360588438e-03
1.685863874345581159e-01, 1.294317376825011856e-03
1.691099476439822391e-01, 1.256959768102808121e-03
1.696335078534063068e-01, 1.219602159380606121e-03
1.698952879581183684e-01, 1.182260835579380075e-03
1.701570680628304300e-01, 1.144919511778155763e-03
1.704188481675424915e-01, 1.107578187976929716e-03
1.709424083769665592e-01, 1.070220579254725982e-03
1.714659685863906824e-01, 1.032862970532523982e-03
1.717277486911027440e-01, 9.955216467312979350e-04
1.719895287958148056e-01, 9.581803229300736233e-04
1.722513089005268672e-01, 9.270598389422221586e-04
