# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.0531915	1.09833	0.0392148	0.557407	0.596622
0.999999	1.5	0.0532813	1.55328	0.0393328	0.799999	0.839332
0.999999	1.5	0.0532822	1.55328	0.0393332	0.799999	0.839333
0.999999	1.5	0.0532832	1.55328	0.0393333	0.799999	0.839333
0.999999	1.5	0.0532843	1.55328	0.0393329	0.799999	0.839332
0.999999	1.5	0.0532861	1.55328	0.039333	0.799999	0.839332
0.999999	1.5	0.0532898	1.55329	0.0393349	0.799999	0.839334
0.999999	1.5	0.0532968	1.55329	0.0393409	0.799999	0.83934
0.999998	1.5	0.053305	1.5533	0.0393479	0.799999	0.839347
0.999998	1.5	0.0533158	1.55331	0.0393576	0.799999	0.839356
0.999998	1.5	0.0533286	1.55333	0.0393696	0.799998	0.839368
0.999998	1.5	0.0533424	1.55334	0.0393824	0.799998	0.839381
0.999998	1.5	0.0533574	1.55335	0.0393961	0.799998	0.839394
0.999997	1.5	0.0533724	1.55337	0.0394095	0.799998	0.839407
0.999997	1.5	0.053387	1.55338	0.0394218	0.799998	0.83942
0.999997	1.5	0.0534016	1.5534	0.0394335	0.799998	0.839431
0.999997	1.5	0.0534165	1.55341	0.0394454	0.799997	0.839443
0.999997	1.49999	0.053432	1.55343	0.0394574	0.799997	0.839455
