# Created on: Tue Feb 27 01:40:47 2018
# X	Y	Z	Vx	Vy	Vz
1.13406	1.68457	1.54421	0.716324	1.49786	1.29869
12.3996	0.668663	1.88723	-1.18145	0.05625	-0.00452794
1.04436	0.697093	2.44515	0.587869	0.0971452	-1.00314
1.01003	12.5607	4.13362	0.534196	-0.951646	-0.392971
0.827856	0.287657	5.45923	0.277944	-0.485869	-0.297474
0.56143	0.339474	6.55967	-0.098953	-0.414262	-0.524822
12.4614	1.61298	7.73032	-1.09222	1.39556	-0.65369
1.79714	0.125323	8.55636	1.65747	-0.721257	-1.27034
0.533381	0.863419	10.7509	-0.134483	0.330329	0.0580218
0.00758677	0.880707	0.290641	-0.887289	0.357765	1.3121
0.823264	1.33325	0.223693	0.27278	-0.789836	-0.577723
0.16506	2.03405	2.38362	-0.662168	0.203701	0.701886
1.64448	1.77621	3.55957	1.44421	-0.160699	0.58225
0.55208	1.68009	4.73737	-0.112222	-0.296641	0.467446
0.890978	1.31232	6.44583	0.372635	-0.821267	1.1028
0.81261	1.94703	6.33139	0.261612	0.0820154	-0.852676
0.660471	1.90437	7.57595	0.0437222	0.0208477	-0.87364
0.501507	1.0881	8.53421	-0.181985	-1.14274	-1.29895
0.10527	1.44803	10.4141	-0.742012	-0.629331	-0.42316
0.0739652	2.52396	10.9667	-0.787397	0.904834	-1.42149
12.4565	3.82157	11.9451	-1.09979	0.951663	-1.82443
0.782557	2.84338	1.84417	0.217587	-0.433731	-0.0673753
1.31058	3.84902	3.05544	0.966186	0.994257	-0.136082
1.08922	3.54583	4.20778	0.64957	0.562462	-0.284954
0.370665	2.78991	5.43098	-0.367342	-0.511568	-0.340886
0.21395	2.96627	6.94691	-0.587119	-0.259891	0.023163
12.3872	3.02858	8.17118	-1.19256	-0.171185	-0.0227209
0.457263	2.14354	10.2069	-0.244132	-1.4285	1.07396
0.845965	3.2592	10.0308	0.307334	0.157274	-0.965314
0.568403	3.3621	11.5747	-0.0868514	0.30167	-0.560008
0.606382	4.41984	0.12164	-0.0336693	0.00838714	-0.720933
0.951895	4.54047	1.34765	0.456898	0.183306	-0.76994
0.877852	4.04407	3.2229	0.347816	-0.517536	0.10516
0.880082	4.14397	5.49017	0.353919	-0.377868	1.53532
0.500511	4.66133	5.8233	-0.184461	0.359219	0.220423
12.5413	4.07001	7.04234	-0.971717	-0.479738	0.159439
0.532101	4.66076	8.49983	-0.137599	0.355909	0.43975
0.781662	4.81599	9.73566	0.215657	0.574626	0.404992
0.831398	4.28169	10.8242	0.287254	-0.186513	0.162749
0.284673	5.18663	12.2675	-0.491698	1.09952	0.423689
0.575216	5.56136	0.246126	-0.076254	-0.151916	-0.542662
0.699021	6.39085	1.21384	0.100671	1.02829	-0.959273
0.625413	4.6971	2.43168	-0.00815909	-1.38139	-1.01888
1.0279	6.05977	3.59567	0.563992	0.551038	-1.15509
0.755149	4.89016	5.36177	0.177515	-1.10424	-0.439124
0.972059	6.80038	6.95275	0.482179	1.60544	0.032569
0.873683	6.49496	8.67584	0.3436	1.17425	0.690742
