# Created on: Sun Feb 25 17:41:20 2018
# X	Y	Z	Vx	Vy	Vz
8.69825	1.38522	3.10384	0.997512	0.697961	0.779095
4.86534	0.0430584	0.839447	1.86084	1.49763	-1.24924
8.79063	8.01794	8.52971	0.0635423	2.53647	0.717391
11.9184	5.00749	10.8715	0.458155	0.883515	1.0649
2.75027	3.18123	2.59845	0.0341247	0.187926	-0.22019
0.325592	3.44218	7.86537	-0.929286	-1.41997	-1.05865
3.45195	5.8633	12.4016	1.40084	0.448787	0.30443
11.9799	1.9469	8.02118	2.32086	-0.128131	0.763939
2.12171	11.4483	4.68021	0.589829	0.211452	1.78911
11.1515	7.26341	9.17698	0.822168	0.249511	0.930053
3.77224	10.7929	2.13204	-0.742502	-1.43349	0.138975
9.96175	0.132805	8.0549	-2.2811	0.430347	-0.339768
4.17867	9.41346	12.305	-1.97266	1.16903	0.479053
11.1851	1.3489	12.5651	-1.67563	-0.0107913	-2.25537
11.8134	4.97679	7.37518	0.255672	1.76039	-0.123013
7.92798	4.66465	9.038	1.94786	-1.23476	1.11286
11.8952	7.2512	11.8028	2.35241	-0.784296	1.2221
10.5068	1.05032	6.5898	-0.401677	-1.79537	-0.189606
4.33002	0.920615	1.55239	2.41379	-0.294736	-0.107892
8.26186	9.62881	7.36145	-0.129446	0.412914	-1.80992
11.8197	12.421	2.00262	2.14488	1.12101	0.199118
12.158	7.36247	6.70207	0.932896	0.123247	1.90661
1.89455	5.48189	3.24742	-0.793293	-0.491981	1.63914
1.92826	3.28935	7.75834	0.0698551	0.863509	0.268586
3.66075	2.4028	11.7611	-1.59372	0.775211	0.56285
11.5655	11.1949	0.530409	-1.26333	-0.93143	-1.13194
11.2042	2.05859	2.58246	0.691164	-1.8505	-0.312588
7.68603	3.89875	7.88385	1.08025	-0.0695792	0.680248
3.62524	3.8809	10.6587	-1.15789	0.719669	0.464388
10.5108	6.3195	0.490788	0.763176	-1.17789	-0.428485
11.5969	11.3508	5.29875	1.58586	-2.21394	-0.133862
1.29558	6.4437	10.5031	-0.370112	0.503134	-0.298643
5.18272	1.94622	0.0812878	1.31783	-0.200867	0.39639
7.713	1.12125	7.94789	1.22709	-1.00273	-1.45369
3.55031	11.9986	4.08899	0.272445	0.35942	-1.86519
2.55761	0.0497759	9.07981	-0.412852	-1.58684	-0.516417
1.09374	12.1415	3.84768	0.774731	0.748968	-0.397165
9.89072	0.313234	2.49246	1.44641	-0.413045	0.388994
3.779	5.95086	1.32643	1.18645	1.18567	1.00964
1.9626	3.45831	0.724225	0.329455	-0.353026	-0.537418
0.594214	2.51159	8.53751	0.281767	1.63273	-0.671502
5.33862	7.79715	0.139412	-0.227115	-0.0738213	-0.893451
9.96824	11.2278	2.9106	0.276723	-1.34888	-0.159426
12.2474	1.2443	12.5682	0.0535567	-1.22131	0.920863
9.36461	6.59334	4.77593	-0.306461	-0.538645	-0.409572
4.08281	1.1421	10.3968	0.637058	0.489736	0.293747
6.67119	5.19094	4.49878	1.2957	-0.696049	-1.09434
0.335706	4.72079	1.17886	1.21206	-0.607537	-0.0665215
8.25212	8.38026	3.82939	-0.847914	-0.735195	-0.743781
7.89499	11.0384	4.47961	0.68064	-0.244766	-1.85942
6.18827	12.4129	6.31991	0.104169	0.399827	1.01002
6.76652	6.65421	3.0475	0.245588	0.474124	-0.242828
5.93496	5.74935	0.873813	-0.455593	-0.166015	-1.19182
9.09797	11.6564	3.84623	0.730173	1.5827	-1.15245
0.486475	1.73143	12.5459	-1.23646	-1.53382	0.983215
5.62566	1.04602	12.4581	-0.89951	-0.704705	0.593772
0.142132	11.401	1.81511	1.78668	-0.487069	0.33417
7.20669	8.3237	8.02696	0.383471	-0.863599	0.00454453
2.68239	6.94969	4.70461	0.0459405	-0.0048466	-2.16011
1.00165	5.71741	8.2137	-0.443072	0.145918	0.157918
9.68946	12.513	5.69433	-0.374034	-0.402676	-1.16743
4.84934	3.97331	12.3417	0.541801	-0.839407	-1.24154
2.37846	9.17587	11.4639	1.97801	-2.95755	0.848219
4.85745	5.87394	6.43838	0.189376	0.539401	1.16378
5.99958	3.5941	10.5374	0.0266028	-1.34472	-0.354833
8.16863	8.59401	7.64941	-0.586281	1.10503	-1.60991
8.53082	10.7762	3.98392	0.727768	0.0277501	-2.36831
6.03587	2.60109	12.2714	0.496803	-0.140265	-1.0909
6.60261	2.01986	12.334	0.889442	-0.549606	1.504
0.329683	3.56218	10.2914	-0.134156	-1.14557	-3.2091
8.47672	8.65213	11.6724	1.18141	0.862583	0.517214
8.40394	2.81253	0.22572	1.68163	-0.582683	1.61543
2.24099	11.1087	0.738265	-0.117687	1.23809	2.42511
3.7305	4.5593	5.58044	0.540636	1.15464	-0.332519
11.2752	11.6297	3.12649	-1.17644	-1.04887	-0.507903
9.4364	8.75604	9.67693	0.0127278	0.459609	-1.02745
1.74775	6.75936	11.8721	-1.61058	1.49095	1.69921
9.36936	0.354038	11.7099	1.02336	0.00675522	0.10483
0.0251162	0.316641	7.91517	0.665716	0.445619	-1.56639
7.78334	9.55583	2.14995	0.933922	-0.30705	-1.01539
8.86055	7.40945	11.4906	0.692886	0.444826	-1.87572
4.09429	4.52556	8.58789	0.256208	-0.382016	0.674742
6.36048	1.90713	5.26028	-0.938071	0.371684	-0.442547
6.12887	6.70864	8.34462	1.2699	-0.796535	-2.11783
5.08148	8.86105	6.8811	-0.916459	-1.09784	0.634121
6.83731	11.2039	8.15022	0.173919	-1.13037	0.00305823
9.93969	8.99763	2.74568	-0.796637	0.248445	0.0855876
8.88625	5.64343	10.5911	-0.0266545	-0.0116598	-1.73726
4.63184	5.79154	0.828953	0.186537	0.434792	-0.273866
5.68926	4.49273	9.50233	-0.658693	0.539075	-1.12275
12.2212	8.84812	1.68211	-0.230936	1.14097	-0.88315
12.0699	3.31634	1.24815	-0.825453	1.83813	-1.86757
1.12694	8.25817	7.48464	1.42511	-0.915761	0.842408
11.7602	2.04018	10.9916	0.600049	-1.55903	-0.871748
2.11012	11.7706	2.61038	0.0332407	1.83236	-1.98147
9.93331	8.59645	10.6285	-1.52294	-0.810999	1.52563
8.09766	12.5331	12.1885	-0.5428	-0.975043	-1.07718
4.50049	8.10903	1.68044	-0.225659	-0.13433	-1.84542
10.1085	4.25918	2.17505	0.192739	-1.26672	0.882855
0.620395	11.6513	9.87472	0.205203	-1.85972	-1.26925
11.6232	9.93863	6.05199	-0.272767	-0.530881	1.29761
2.59079	7.94853	2.90556	-0.886053	0.574548	-0.936727
3.7848	9.08308	7.88552	-0.380844	0.75633	0.685707
7.25402	7.5632	1.00948	0.118193	-0.834959	2.32495
6.96853	2.87056	9.25402	1.25076	0.0500998	0.845942
10.7188	7.46771	1.10625	0.304769	-0.90093	-0.914867
6.1237	1.9943	10.1977	0.643058	0.128225	-0.994726
5.91664	4.39147	3.79027	-0.321316	0.505499	1.09985
7.70821	1.58197	11.8905	-0.986652	1.06339	-0.303772
3.20557	2.22511	8.72283	-0.384373	0.0747829	1.8126
11.6168	9.6993	1.90933	-0.712329	-0.567505	0.527259
10.2618	5.08118	7.60954	0.0122178	-1.53867	0.158439
12.2626	11.0229	2.46896	-0.0264126	-1.08504	-0.42188
8.67582	4.40574	7.13437	-0.633124	-0.109698	-0.351257
3.06246	4.08202	2.96404	0.948075	0.140744	0.688249
8.78756	0.349196	0.0819026	-1.5412	-0.431537	-1.43273
11.4988	9.98598	0.941501	0.499074	1.32341	1.61071
10.6908	4.87533	0.957386	2.19607	0.662132	1.01938
1.04298	4.91616	4.63192	-0.319952	-0.44761	-0.44048
1.06665	3.39914	3.50672	-0.54676	0.975542	-0.420741
0.119203	12.1594	12.4097	0.141912	0.691301	2.14282
7.26131	7.71669	9.8999	0.74166	0.926668	-0.329424
11.9268	9.15605	12.5364	0.413096	2.23249	0.973823
11.8946	5.59018	1.73606	0.37203	-1.41021	-0.00264611
7.33277	2.22826	0.59365	-0.599101	0.651387	-1.2977
10.1262	10.9862	9.78651	1.38412	0.342787	-2.62297
7.82908	6.36999	10.3484	0.477277	0.325672	-0.69293
2.17903	10.0809	2.19019	0.74513	-0.202686	0.296546
3.98929	9.34777	5.36756	1.00195	-1.07579	1.42284
6.8325	4.50383	1.80325	-1.63622	1.12815	1.5227
1.06244	7.47873	0.0885315	-0.124987	0.318003	0.444772
8.32373	11.1626	0.77084	-0.210174	-0.575387	0.56858
9.45988	9.61355	6.28493	-1.5296	1.74341	-1.22375
6.2478	10.9868	4.10626	2.54913	0.519905	0.825279
0.62268	5.24353	6.80306	-1.15617	0.738777	0.890597
8.52153	7.66839	5.37759	-2.18371	1.23408	-0.138151
7.53036	8.15101	4.7176	0.596328	1.07763	-0.891476
0.264765	10.3929	6.34338	-1.55988	0.936273	0.495185
1.80691	7.18151	9.85109	-1.40639	-0.553575	0.346044
6.97939	5.8653	2.43534	0.710655	0.433844	-0.0334425
7.84449	11.0512	2.65402	0.834495	0.601913	-0.353733
0.340159	9.55615	11.774	2.27266	2.31846	-1.18219
2.98671	5.30749	4.86662	-0.0365699	-1.13682	-1.41865
12.0509	0.698312	5.31076	-0.716656	0.918511	0.115545
1.09618	0.877564	5.39222	-0.423695	-1.12589	1.45328
5.78191	7.24985	5.03626	1.20295	-1.34113	0.285489
3.23647	7.70343	5.31172	-0.497021	-0.311777	0.350049
2.2927	2.76632	10.6505	0.824894	-0.234369	-0.92422
1.59163	3.13422	1.62192	0.662194	-0.665756	-0.187621
12.5899	6.03963	6.0135	-0.279156	0.271247	-1.39925
9.45274	10.0489	2.97175	-0.04978	0.208887	-1.84065
3.1516	5.69203	3.97665	0.479391	0.423014	-0.531321
10.7723	6.43505	12.0466	1.16028	-0.431808	-1.29228
5.81897	5.0762	2.3716	0.431318	0.585522	0.126148
10.5545	3.52409	12.2553	-1.37576	-1.11271	-0.616582
11.2441	12.0588	9.3012	-1.33011	0.541395	-1.25064
4.3787	3.12572	5.34125	0.130713	2.54553	0.384408
11.0954	9.19966	6.79821	-0.180191	-1.56136	-1.31757
10.7823	2.70327	10.176	-1.41157	-0.357464	0.227792
9.33811	11.5526	8.6199	0.328345	-0.263628	-0.439697
3.78401	4.0533	11.76	0.256511	-0.666298	-1.59508
6.7102	12.0282	2.80536	-1.3275	0.758669	0.498175
5.7432	7.70805	3.94575	1.11292	-0.527058	1.97157
6.44115	3.58265	0.766705	1.00319	1.0515	0.106678
7.91815	6.38145	7.04748	-2.8289	0.830619	0.995245
10.5864	12.5245	0.312961	-1.09564	-0.680379	1.4437
7.40839	11.907	11.6495	-0.781585	-0.991971	0.587615
0.0263492	5.86813	7.50293	-3.01393	0.51985	-0.667256
7.57955	5.51819	5.56513	0.00777092	-0.288328	-0.964943
9.20245	9.97544	9.15292	1.50334	-0.956441	-0.160566
8.97543	6.31899	1.52813	0.465146	0.365742	2.30698
4.67517	1.67864	7.22381	-0.512163	0.0922091	1.06309
1.73239	10.0438	4.13282	0.889095	-0.183987	-0.389494
9.79791	12.096	6.68091	-0.0608758	-0.144484	0.449361
4.95681	8.5131	4.17675	-1.37517	0.0532793	-0.958894
8.35835	7.11644	0.604066	1.20874	-0.0532275	1.28212
0.385746	0.0604466	5.91763	-0.509473	0.633856	-0.0120347
4.42702	1.56576	5.47641	-0.167907	-0.456416	-0.528554
0.443687	4.22983	3.45507	-0.266654	-1.68271	-0.362681
2.80943	2.8215	7.25433	-0.810636	-0.992494	1.20414
6.61558	7.9334	4.29398	0.227407	-1.27066	2.1562
3.93115	5.2009	4.88172	-0.262245	-0.07509	-2.63713
8.81308	0.564917	9.57997	0.895937	1.72517	-1.90343
1.24868	11.1925	8.217	-1.31468	0.961474	-0.806098
2.61003	5.72667	0.496664	0.67005	0.299853	1.12551
0.75853	9.99539	8.44343	-0.880464	-0.478529	2.74563
4.14467	4.91926	0.240635	0.210395	1.65404	0.364851
6.85501	4.47395	4.0755	-0.363593	-0.632721	0.809683
5.16543	10.4545	1.5689	-0.751143	-0.761855	0.695034
4.32621	10.856	9.53564	1.60521	-0.819017	-1.17077
11.8015	2.78013	5.86188	0.605987	0.631128	-0.287991
4.2537	4.07134	2.18172	-1.28693	-0.905408	-0.253258
12.4712	5.8879	9.1584	-1.20686	1.48757	-0.980057
5.48517	5.66292	4.37119	0.460746	-0.861758	0.0681516
1.06777	8.66461	4.61569	-0.446925	0.37524	1.09627
7.48502	2.71252	4.01956	-1.49816	-0.65542	-1.65189
0.451343	7.50164	6.99609	1.14433	1.88514	1.41226
11.4042	2.31618	0.384138	-3.29884	0.426773	-1.02684
2.94615	4.84289	8.83606	-1.12842	0.253589	-0.0801496
2.88509	7.02096	7.3675	-0.547125	-0.00500825	-0.86811
1.78504	5.09354	1.66213	-0.0365476	0.044952	0.37069
9.65696	3.38767	6.20685	1.21768	-0.759562	2.80458
6.352	10.2494	5.47525	-1.7449	0.893036	-0.544516
3.69911	2.22704	2.56489	1.06633	1.0077	0.329209
8.52703	9.31057	10.4058	-1.15995	-1.33496	-0.0430447
5.53547	12.3604	10.8637	-0.415168	0.345808	0.429163
5.74303	9.8468	7.49182	-0.33868	1.12758	1.26598
1.30797	4.8673	0.888294	-0.825775	1.0425	0.440786
3.58826	11.2181	9.48702	-0.941363	-0.784649	0.0511856
0.237645	10.9542	10.66	1.25815	-0.193582	-0.135542
2.23621	3.32177	4.78189	0.392897	-1.7983	0.68252
1.90552	12.3548	0.240613	0.655043	0.341471	0.29593
11.518	8.60344	11.6438	0.636163	-0.566542	-0.975992
3.0392	0.0167556	0.799786	0.127408	-1.03856	0.532594
7.65267	10.5149	1.99484	1.58135	0.529399	0.160121
6.9861	1.09703	12.5955	1.13455	-1.09589	-0.644778
8.01603	11.5968	8.83628	1.1539	1.83631	-1.23817
9.10054	0.604456	1.98843	-0.764881	-0.0595918	-0.796026
3.198	8.60204	4.64758	-0.210539	0.381313	-0.530119
11.2972	12.5699	10.0131	-0.513262	0.0476054	0.077549
6.29423	9.35521	10.3566	1.98793	-1.67663	2.38149
12.5495	8.7036	2.60795	-1.0395	1.93487	-0.291033
0.533853	0.696839	11.0673	-1.48432	2.41646	0.262446
9.72402	2.42847	4.84239	1.35823	-0.699234	-0.186028
10.0996	1.12563	4.35198	2.2778	0.880979	0.335178
12.4488	3.5435	11.146	-2.08892	-0.487423	0.078367
7.01249	4.45611	0.458184	0.346179	0.586621	1.01574
0.0554998	11.364	12.3906	-2.53426	-0.196304	-0.687878
6.27396	7.17307	1.11365	-1.46431	0.410697	1.90565
0.964672	10.3983	2.35109	-0.272789	-0.450219	-1.10067
3.36155	2.51774	10.31	-0.63919	1.86859	-2.35177
4.07541	11.1972	6.26427	-0.126832	1.10202	0.16265
10.654	7.16719	2.32496	0.70979	-0.961564	0.50127
12.1159	7.85413	3.76539	0.469912	0.13562	-0.347627
4.83139	1.91679	8.69821	-0.520471	-0.0980523	-0.60583
10.8816	3.40863	5.74032	-0.915384	0.300178	1.09584
11.5309	8.36676	6.49331	-1.50402	0.20135	-1.7643
3.72208	3.44412	8.44317	-0.998316	-0.949407	-1.33638
7.9621	5.62551	0.0536555	0.878438	-0.0745588	-0.58213
11.8259	8.15434	0.775417	1.34284	1.19349	-0.25388
0.0258217	12.0831	11.2897	2.0756	0.228674	0.130902
9.8263	10.5902	0.510009	0.987729	0.212386	0.376754
0.0844093	1.57378	7.33443	1.63715	0.954745	1.26828
8.29018	6.17789	9.68617	-0.669878	-0.525168	-1.68513
12.0849	12.0206	5.93734	1.26206	1.053	0.238243
3.82325	4.99518	9.48429	0.532068	-0.0516641	-0.978184
1.8757	10.743	1.68115	-0.174218	-0.756997	0.103979
10.678	4.3499	11.1798	-0.702192	-0.884944	-0.244835
0.338089	8.74932	0.348453	-1.09759	0.118586	0.250878
4.52082	3.62715	7.92104	-1.15358	-0.637084	0.289769
9.82806	7.20968	8.77851	-0.068764	1.53884	-0.831861
6.58289	1.47761	7.31791	0.880732	-0.364733	-0.0722936
12.2398	5.29964	3.06637	-0.936137	-2.28237	-0.717701
12.1003	4.3762	6.15776	-0.502685	-1.4726	-0.0675799
7.48158	1.92171	1.72759	-0.552316	1.53988	-0.885287
7.9823	3.88051	5.51774	-0.710015	0.698632	-0.371827
8.04188	6.4135	8.16138	-1.0425	1.42338	0.459586
4.19606	3.67703	1.40464	-1.80716	0.221932	-1.34979
3.60236	8.63024	10.4761	0.760818	0.607226	-1.98427
12.2325	5.86483	11.1438	2.18594	-0.329178	0.144819
7.20902	9.20943	3.07776	-0.642081	-0.157912	0.855356
12.568	10.8849	9.5072	3.06405	2.82323	2.00749
4.54679	12.5929	6.09295	-0.099473	0.498161	1.24403
0.474555	6.51422	2.38118	-0.774533	0.626821	0.999039
9.68244	7.44806	7.71071	0.166771	1.17612	-0.566394
7.47486	9.82154	12.3842	-0.352725	0.154842	-0.433224
0.460549	0.980026	3.38693	0.0723035	-0.410748	1.05603
3.11477	11.9996	1.60818	-0.571256	-0.133034	0.253297
4.15691	10.6243	7.61958	-0.402404	0.461827	0.454866
3.77455	9.82238	8.61732	0.667156	-1.14633	-2.35561
5.49755	3.12585	6.27244	-0.13138	-1.62552	-0.333717
8.72818	10.5328	6.44957	0.650501	-2.84519	-0.398203
7.39367	5.39297	3.23372	1.12506	-1.36272	3.12128
5.44647	5.46914	8.19304	-0.8957	-0.2006	0.310525
11.4341	12.5649	12.4338	-1.46429	1.38758	-1.86288
10.8928	8.18371	5.26592	1.86498	0.386125	-0.145814
5.78015	4.70034	7.64804	-1.39223	-0.397941	-0.0648071
2.12702	6.53997	2.9813	1.47329	-0.648243	0.360538
8.31907	0.227877	7.70697	0.231065	0.314686	-0.316203
10.3415	2.24702	7.02257	0.0868507	0.09543	0.773501
7.43183	8.23876	0.0851205	-1.12513	-1.53667	-2.53542
8.82603	4.818	4.58299	0.179949	-0.107288	2.72294
2.38399	9.21804	5.08889	1.58077	0.555448	2.12005
4.16659	1.94908	9.77085	0.0985295	1.1994	-1.02853
11.5412	10.4372	12.2214	0.586975	-0.0767158	1.0517
7.64968	11.5321	10.5089	-1.83663	0.634197	-0.308017
7.81585	1.62276	9.1931	1.25902	0.530189	0.714321
8.85084	8.96412	8.76611	-1.33451	0.872235	1.3633
7.2688	6.14346	1.02653	0.07754	0.482558	0.571979
10.4926	7.2032	11.1958	0.52968	0.889254	-1.24067
5.24613	11.0534	8.72509	-0.308047	2.0677	-0.601739
6.155	5.40076	12.1384	0.467147	0.193137	-1.20929
7.24023	9.99497	11.1958	-1.36835	1.60251	-1.26406
3.39806	0.0401765	2.43018	-0.57267	0.775747	-0.424789
9.6924	11.137	5.15978	0.615063	-2.71538	0.441693
10.6823	6.73925	8.12169	-0.0124439	0.201123	-0.19001
4.78726	3.45679	10.9364	-1.52479	-0.142224	-0.0828542
9.15124	2.87558	9.34216	-0.0771197	0.8568	-0.13611
9.08649	11.6675	11.9872	0.315877	0.899708	0.765085
3.68063	1.4583	11.4394	-0.403376	0.410472	-1.04657
2.87446	8.31786	7.82809	1.77407	-0.265137	-0.349991
2.12186	0.904904	11.9666	-0.130829	-1.86504	1.47587
11.2763	2.45615	4.52401	0.0240255	-1.47938	0.779243
1.95988	8.28819	7.0598	1.73228	-1.02621	0.435772
0.929002	1.80242	9.98523	-1.20861	-0.660168	0.56659
3.39789	7.44454	11.4694	-1.65353	-1.40555	-1.11233
10.6356	8.31589	7.66697	0.612079	0.482782	-2.12172
10.9103	4.31837	6.91773	-0.212702	0.194623	2.38658
5.7928	8.84163	7.41749	-0.591097	-1.02718	-0.761457
8.41814	8.09667	2.49569	0.85961	-0.150381	-0.294526
6.43965	6.48968	10.3673	-0.419723	-0.11851	0.614891
6.556	4.29387	7.06173	-0.483507	-0.0498418	1.06401
10.3614	12.393	3.51409	-0.278374	-0.0169725	-0.0634232
11.4563	2.88306	3.33215	-0.267827	-0.265201	-0.0943691
6.60263	1.00187	2.38162	0.597311	1.22491	0.319805
6.56955	5.11886	8.20864	-0.496071	0.787804	-0.228343
5.28532	12.3675	8.64647	1.92683	-1.25647	0.802319
1.26131	3.8689	10.7701	-0.129128	-1.24007	0.109002
8.14496	12.1747	5.20766	0.949262	-0.0147898	-0.542047
10.5926	11.3297	8.49202	0.406167	-0.182485	1.22614
3.18885	3.85109	7.12383	-0.112119	0.506239	0.784644
8.66636	11.688	7.26185	1.2977	0.689926	-1.74853
10.8294	8.38558	1.82679	1.04555	-0.60824	-0.364872
10.1158	1.51948	0.921158	1.55518	0.792482	-0.291585
6.19803	6.76779	6.05081	-1.20143	0.373916	-0.766079
10.6609	10.5107	1.93078	-0.390032	0.376214	0.858409
9.33449	1.84219	8.76028	-0.333835	-1.74051	0.159324
5.95383	4.64265	11.27	1.20538	0.614643	-1.30689
11.8722	5.50812	11.9469	-0.374988	-0.208822	0.0084832
0.356392	3.22712	6.54866	-0.185204	-0.224435	0.351771
6.13274	11.8617	4.60575	-1.50166	-0.299412	0.553573
5.97617	12.0828	0.844636	-0.686556	-1.19463	-0.550537
2.73534	3.93149	5.58438	0.479734	-0.195789	-1.70517
7.5055	6.94457	5.54821	-0.907976	0.858878	1.88753
9.37624	4.00537	11.538	0.160572	-0.363367	-0.7215
3.77865	11.1716	0.130052	0.446348	-0.69624	-0.187389
2.62326	1.12804	10.3307	0.156893	1.05375	1.13633
2.27852	3.35168	11.3861	0.190235	0.598691	-0.44543
9.43322	2.13794	5.80543	-0.793678	-1.51599	-1.33755
6.21687	4.10162	6.13898	-0.763598	-0.859722	-3.12043
5.2836	3.26258	10.2477	1.26416	-0.573164	-1.71675
0.0794836	6.33829	1.41182	-1.42106	0.726212	-0.551996
7.76228	0.784951	1.92311	-0.300046	1.9814	-1.19688
10.8749	8.95797	9.63389	-0.795222	0.515409	-0.726076
8.02121	4.57164	6.50506	-0.555604	-1.59932	1.20187
10.2591	5.45455	6.12555	-0.301405	-0.025532	-1.67052
9.21127	3.77001	2.49821	-0.752751	-1.63016	0.397325
1.55702	5.52425	9.89503	2.56468	-0.417069	0.559179
9.21099	12.2497	3.01851	0.875676	-0.580082	-1.47097
12.4629	9.26112	7.22131	-0.414069	-0.574883	-1.56725
11.9363	5.34894	9.58855	1.43364	0.264435	0.124811
11.9578	0.118708	10.9537	0.959329	-0.878477	0.3779
9.62547	3.61891	1.02185	1.14195	-0.833203	0.856006
4.0983	8.90923	1.29664	0.660312	0.52547	-0.342246
9.83153	12.3392	10.7787	-0.0408524	1.5497	-0.891951
5.83068	0.502002	11.5955	-0.0534369	-0.35989	-1.08537
10.0853	6.85065	1.61031	-0.173465	-0.61333	-0.664115
5.18851	0.792639	9.6588	0.736744	-0.231544	-0.0926209
8.76071	4.38944	9.46627	1.08484	1.64744	1.7254
3.1262	6.07743	6.76764	-0.335833	-0.531509	-1.56257
6.73245	6.72423	0.0311811	0.4652	0.579403	0.44649
11.9576	10.5956	11.3018	0.261552	0.0660005	0.397467
4.97069	4.61226	5.49914	0.805886	0.788245	0.9266
6.78054	2.45683	10.795	0.903266	-1.18836	-0.367203
11.8869	8.5104	7.58356	-0.767008	-1.2422	-0.881526
8.40902	3.8054	11.7871	-1.24082	-0.0319499	-1.79446
2.55007	2.03285	1.30911	-0.312051	0.207478	1.04734
10.0538	11.319	11.1537	-0.109681	0.657294	-0.618727
11.5487	11.8724	8.04434	-1.19699	-1.45486	-0.596029
2.65792	2.54574	5.36742	1.31568	1.06785	0.434582
3.57355	6.50782	10.3137	-0.792894	1.3127	-0.320308
8.64204	3.50374	10.0809	-2.00156	-0.67902	2.23879
7.48832	2.11063	10.6951	-1.21248	-0.752711	0.626041
4.29069	2.35994	3.86765	-1.01204	-1.0316	0.877575
4.33231	3.14924	6.49605	0.137933	-0.168764	-1.15382
11.105	10.3086	9.3829	-0.148094	-0.0100728	0.665976
8.93281	8.2575	10.7677	0.26409	-1.9167	-0.566536
1.60265	0.567452	9.00873	-0.441718	-1.08426	2.74134
10.0414	8.19961	0.802468	-0.564915	-0.101424	0.0595513
11.1298	3.64359	2.25573	-0.278806	1.1159	0.573644
4.78363	4.64803	1.73191	0.717764	-0.859132	-0.904376
1.71648	9.74881	5.91336	-1.42608	-0.763287	0.561141
5.31816	10.7629	4.20261	-1.28388	-0.414006	1.14011
2.31292	11.496	12.1832	-0.358202	0.198218	-0.628394
10.5621	6.1133	3.40676	-0.242023	-1.67239	-0.962167
0.727481	9.62089	7.14603	1.02965	-0.56183	-0.834338
8.66088	9.16704	4.14208	0.954619	-0.705102	0.523033
2.18147	0.347241	3.94799	1.18126	0.443461	-0.559641
6.94428	1.80031	4.51734	-0.632564	-0.391652	-2.69628
8.55758	6.22975	3.94503	0.897693	0.157369	1.37218
11.8675	6.20085	0.506095	0.23285	-0.177829	-0.555362
7.98493	10.6057	8.33801	1.27226	1.483	-0.0503669
11.9255	11.1852	6.77508	0.701313	-0.406127	-0.144235
5.09127	0.898325	4.99872	-0.795561	0.922648	-1.72022
3.15388	9.68148	6.01357	0.558731	-0.639307	0.911683
4.26337	10.3706	0.284789	-0.0761797	1.45755	-0.777042
6.69357	2.36017	6.94336	0.886357	3.02405	0.852796
3.50123	10.6388	1.19136	-0.691255	-1.19802	1.07882
10.1279	8.87177	8.64735	1.0983	0.478228	0.96004
9.32551	4.00325	3.76212	-0.333193	1.75218	2.15835
6.99982	0.687978	8.66486	-0.282185	-0.785334	-0.213459
4.99799	10.0585	5.86395	-0.933748	1.03884	1.0235
6.79337	3.19783	5.5582	0.0817746	-0.973526	-1.03254
7.04987	3.27394	1.66243	0.737043	-1.36427	-1.1416
6.2256	1.71482	3.60251	1.3727	-0.827524	-0.443908
7.3109	3.67074	6.50977	2.22084	-2.42763	-0.382383
5.20521	9.75415	10.4237	1.89084	-0.153506	0.0139319
7.73874	11.7179	8.00068	-1.42357	1.32789	0.474277
5.14109	2.90226	0.237498	0.71842	-0.349754	-1.19722
11.5077	3.13126	9.54561	-0.103949	-2.04857	-0.18587
11.2348	8.72388	4.61319	0.553319	-0.140999	-0.196933
